"Match_Importance","Rank_Med","Rank_Opp","Log_Rank_Med","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Med","Pre_Med","Pre5_Med","Pre_Opp","Pre5_Opp","Odd_Med","Odd_Opp","Odd_Pred","Odd_Acc","Win"
90,22,2,3.09104245335832,0.693147180559945,0,1,0,0,0,83.1869510664994,85.2313167259786,50,1,1,0,0.6,4,1.22,0,1,0
45,21,50,3.04452243772342,3.91202300542815,0,0,0,0,1,43.6241610738255,33.3333333333333,50,0,0.8,1,0.6,1.3,3.4,1,1,1
90,21,107,3.04452243772342,4.67282883446191,0,0,0,0,1,43.3070866141732,54.1666666666667,50,1,0.8,1,0.6,1.14,5.5,1,1,1
150,21,26,3.04452243772342,3.25809653802148,0,0,0,0,1,52.7777777777778,50,50,1,0.8,1,0.6,1.9,1.9,1,0,0
90,20,67,2.99573227355399,4.20469261939097,0,0,0,0,1,27.906976744186,25,50,0,0.6,0,0,1.25,3.75,1,1,1
90,20,43,2.99573227355399,3.76120011569356,0,0,0,0,1,48.3870967741936,48.2758620689655,0,1,0.6,1,0.8,1.36,3,1,1,1
180,20,16,2.99573227355399,2.77258872223978,0,0,0,0,1,56.7164179104478,53.3333333333333,100,1,0.8,1,1,2.2,1.66,0,0,1
300,20,3,2.99573227355399,1.09861228866811,0,0,0,0,1,83.2089552238806,84.0796019900498,0,1,0.8,1,0.8,3.2,1.36,0,1,0
90,17,24,2.83321334405622,3.17805383034795,0,0,0,0,1,59.349593495935,50,50,0,0.6,0,0.6,1.28,3.5,1,1,1
90,17,13,2.83321334405622,2.56494935746154,0,0,0,0,1,53.6585365853659,42.3076923076923,33.3333333333333,1,0.8,1,0.8,1.83,1.83,1,0,0
45,16,240,2.77258872223978,5.48063892334199,0,1,0,0,0,75,77.8067885117493,50,0,0.6,1,0.6,1.83,1.83,1,1,1
90,16,18,2.77258872223978,2.89037175789616,0,1,0,0,0,67.6646706586826,70.4225352112676,100,1,0.6,1,0.6,2,1.8,0,0,1
150,16,239,2.77258872223978,5.47646355193151,0,1,0,0,0,66.1764705882353,69.2622950819672,0,1,0.6,1,0.6,1.61,2.3,1,1,1
250,16,9,2.77258872223978,2.19722457733622,0,1,0,0,0,68.6375321336761,68.4210526315789,50,1,0.8,1,0.6,2.37,1.57,0,1,0
90,19,119,2.94443897916644,4.77912349311153,1,1,0,0,0,0,25,50,0,0.6,0,0.2,1.16,5,1,1,1
90,19,83,2.94443897916644,4.4188406077966,1,1,0,0,0,33.3333333333333,44.4444444444444,100,1,0.8,1,0.2,1.16,5,1,1,1
180,19,22,2.94443897916644,3.09104245335832,1,1,0,0,0,64.6153846153846,60.1398601398601,50,1,0.8,1,0.4,1.61,2.3,1,1,1
360,19,1,2.94443897916644,0,1,1,0,0,0,87.1527777777778,86.6952789699571,0,1,0.8,1,0.8,6.5,1.11,0,1,0
45,16,54,2.77258872223978,3.98898404656427,0,0,0,0,1,46.7048710601719,41.25,66.6666666666667,0,0.6,1,0.4,1.22,4,1,1,1
90,16,38,2.77258872223978,3.63758615972639,0,0,0,0,1,52.6315789473684,61.2244897959184,100,1,0.8,1,0.6,1.28,3.75,1,1,1
150,16,33,2.77258872223978,3.49650756146648,0,0,0,0,1,63.265306122449,67.1428571428571,50,1,0.8,1,0.8,1.66,2.2,1,1,1
250,16,47,2.77258872223978,3.85014760171006,0,0,0,0,1,51.6129032258064,64.2857142857143,100,1,0.8,1,0.8,1.14,5.5,1,1,1
90,16,35,2.77258872223978,3.55534806148941,0,0,0,0,1,47.7922077922078,45.3125,0,1,0.8,0,0.6,1.22,4,1,1,1
90,16,26,2.77258872223978,3.25809653802148,0,0,0,0,1,55.2592592592593,49.5327102803738,50,1,1,1,0.6,1.33,3.25,1,1,1
180,16,140,2.77258872223978,4.9416424226093,0,0,0,0,1,66.5865384615385,71.6129032258065,50,1,1,1,1,1.57,2.37,1,1,1
300,16,33,2.77258872223978,3.49650756146648,0,0,0,0,1,63.3603238866397,67.3611111111111,100,1,1,1,0.8,1.4,3,1,0,0
90,15,113,2.70805020110221,4.72738781871234,0,1,0,0,0,43.0769230769231,42.4657534246575,100,0,0.8,0,0.4,1.14,5.5,1,0,0
90,15,62,2.70805020110221,4.12713438504509,0,1,0,0,0,36,36.3636363636364,50,0,0.6,1,0.6,1.25,3.75,1,1,1
180,15,113,2.70805020110221,4.72738781871234,0,1,0,0,0,46.3768115942029,43.75,50,1,0.6,1,0.6,1.3,3.5,1,0,0
90,15,55,2.70805020110221,4.00733318523247,0,1,0,0,0,45.4237288135593,46.7948717948718,0,0,0.4,1,0.4,1.3,3.4,1,1,1
180,15,58,2.70805020110221,4.06044301054642,0,1,0,0,0,46.875,42.3076923076923,100,1,0.4,1,0.6,1.28,3.75,1,1,1
180,15,5,2.70805020110221,1.6094379124341,0,1,0,0,0,83.1515151515152,85.2233676975945,0,1,0.6,1,0.8,3.5,1.3,0,1,0
90,14,51,2.63905732961526,3.93182563272433,0,0,0,1,0,45.1263537906137,47.4576271186441,50,0,0.6,0,0.4,1.53,2.37,1,1,1
90,14,45,2.63905732961526,3.80666248977032,0,0,0,1,0,38.2716049382716,33.3333333333333,50,1,0.6,1,0.6,1.4,2.75,1,1,1
180,14,8,2.63905732961526,2.07944154167984,0,0,0,1,0,57.9545454545455,57.8947368421053,100,1,0.8,1,0.6,2.1,1.72,0,0,1
360,14,1,2.63905732961526,0,0,0,0,1,0,82.1316614420063,81.2227074235808,0,1,0.8,1,0.8,4.33,1.22,0,0,1
600,14,48,2.63905732961526,3.87120101090789,0,0,0,1,0,44.6428571428571,50,100,1,0.8,1,0.8,1.44,2.75,1,0,0
90,14,83,2.63905732961526,4.4188406077966,0,0,0,1,0,44.4444444444444,51.2,50,0,0.8,1,0.6,1.5,2.5,1,1,1
90,14,61,2.63905732961526,4.11087386417331,0,0,0,1,0,38.7096774193548,50,100,1,0.8,1,0.6,1.2,4.5,1,1,1
180,14,81,2.63905732961526,4.39444915467244,0,0,0,1,0,47.0588235294118,51.6129032258064,50,1,0.8,1,0.6,1.25,4,1,1,1
300,14,7,2.63905732961526,1.94591014905531,0,0,0,1,0,68.4863523573201,71.9298245614035,33.3333333333333,1,0.8,1,0.6,2,1.8,0,0,1
500,14,5,2.63905732961526,1.6094379124341,0,0,0,1,0,61.8374558303887,73.469387755102,0,1,0.8,1,0.8,3.75,1.28,0,1,0
90,14,26,2.63905732961526,3.25809653802148,0,0,0,1,0,48.4615384615385,54.8780487804878,0,0,0.8,0,0.6,1.53,2.37,1,0,0
90,14,36,2.63905732961526,3.58351893845611,0,0,0,1,0,65.7342657342657,57.8947368421053,50,0,0.6,0,0.4,1.36,3,1,0,0
90,14,43,2.63905732961526,3.76120011569356,1,0,0,1,0,42.8571428571429,46.1538461538462,100,0,0.4,0,0.4,1.33,3.4,1,0,0
45,13,26,2.56494935746154,3.25809653802148,0,0,1,0,0,52.9801324503311,58.3333333333333,0,0,0.2,1,0.4,1.44,2.62,1,0,0
90,13,37,2.56494935746154,3.61091791264422,0,0,1,0,0,55.0578034682081,53.6585365853659,66.6666666666667,0,0,0,0.4,1.36,3,1,1,1
90,13,29,2.56494935746154,3.36729582998647,0,0,1,0,0,53.2467532467532,59.2592592592593,0,1,0.2,1,0.6,1.44,2.62,1,1,1
180,13,23,2.56494935746154,3.13549421592915,0,0,1,0,0,51.685393258427,27.2727272727273,100,1,0.4,1,0.6,1.28,3.75,1,1,1
300,13,38,2.56494935746154,3.63758615972639,0,0,1,0,0,58.0487804878049,57.3333333333333,0,1,0.6,1,0.8,1.2,4.5,1,0,0
90,13,106,2.56494935746154,4.66343909411207,1,0,1,0,0,26.8292682926829,20.8333333333333,100,0,0.6,0,0.4,1.01,23,1,1,1
90,13,101,2.56494935746154,4.61512051684126,1,0,1,0,0,50,50,50,1,0.8,1,0.4,1.22,4.33,1,1,1
180,13,23,2.56494935746154,3.13549421592915,1,0,1,0,0,64.7887323943662,55.2631578947368,100,1,0.8,1,0.8,1.9,1.9,1,0,0
90,10,124,2.30258509299405,4.82028156560504,0,1,0,0,0,42.1052631578947,35.7142857142857,50,0,0.6,1,0.4,1.18,4.5,1,1,1
90,10,40,2.30258509299405,3.68887945411394,0,1,0,0,0,43.6170212765958,45.4545454545455,50,1,0.6,1,0.2,1.4,3,1,1,1
180,10,17,2.30258509299405,2.83321334405622,0,1,0,0,0,62.109375,64.3109540636042,50,1,0.8,1,0.6,1.61,2.3,1,1,1
300,10,122,2.30258509299405,4.80402104473326,0,1,0,0,0,50.9803921568627,50.8196721311475,50,1,0.8,1,0.8,1.16,5,1,1,1
500,10,52,2.30258509299405,3.95124371858143,0,1,0,0,0,66.2251655629139,68.5950413223141,0,1,0.8,1,0.8,1.72,2.1,1,0,0
90,9,33,2.19722457733622,3.49650756146648,0,1,0,0,0,50.6944444444444,53.1914893617021,0,0,0.8,1,0.6,1.53,2.37,1,1,1
180,9,36,2.19722457733622,3.58351893845611,0,1,0,0,0,59.375,50,50,1,0.8,1,0.4,1.16,5,1,1,1
360,9,4,2.19722457733622,1.38629436111989,0,1,0,0,0,62.6262626262626,60.3448275862069,0,1,0.8,1,1,1.61,2.3,1,1,1
600,9,8,2.19722457733622,2.07944154167984,0,1,0,0,0,53.5211267605634,52.2388059701493,0,1,0.8,1,0.6,1.5,2.62,1,1,1
1000,9,2,2.19722457733622,0.693147180559945,0,1,0,0,0,81.7824377457405,79.8657718120805,50,1,0.8,1,0.8,3,1.4,0,1,0
