"Match_Importance","Rank_Djo","Rank_Opp","Log_Rank_Djo","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Djo","Pre_Djo","Pre5_Djo","Pre_Opp","Pre5_Opp","Odd_Djo","Odd_Opp","Odd_Pred","Odd_Acc","Win"
720,3,17,1.09861228866811,2.83321334405622,1,1,0,0,0,64.1791044776119,64.4736842105263,33.3333333333333,1,0.8,1,0.8,1.19,4.5,1,1,1
1200,3,15,1.09861228866811,2.70805020110221,1,1,0,0,0,64.7058823529412,58.7628865979381,33.3333333333333,1,1,1,1,1.3,3.5,1,1,1
2000,3,1,1.09861228866811,0,1,1,0,0,0,86.3354037267081,87.4458874458875,25,1,1,1,1,4.5,1.2,0,1,0
90,3,70,1.09861228866811,4.24849524204936,0,0,0,0,1,51.0526315789474,57.1428571428571,100,0,0.8,0,0.6,1.08,7,1,1,1
90,3,126,1.09861228866811,4.83628190695148,0,0,0,0,1,30,18.1818181818182,100,1,0.8,1,0.6,1.01,13,1,1,1
180,3,16,1.09861228866811,2.77258872223978,0,0,0,0,1,58.0985915492958,42.8571428571429,50,1,0.8,1,0.8,1.11,6,1,1,1
300,3,73,1.09861228866811,4.29045944114839,0,0,0,0,1,48.1132075471698,46.1538461538462,100,1,0.8,1,0.8,1.11,6,1,1,1
500,3,41,1.09861228866811,3.71357206670431,0,0,0,0,1,47.7272727272727,63.6363636363636,0,1,0.8,1,0.8,1.22,4.33,1,1,1
90,3,32,1.09861228866811,3.46573590279973,0,0,0,0,1,53.0386740331492,42.1052631578947,33.3333333333333,1,1,1,0.6,1.19,4.33,1,1,1
180,3,23,1.09861228866811,3.13549421592915,0,0,0,0,1,66.3265306122449,59.6491228070175,0,1,1,1,0.8,1.16,4.5,1,1,1
360,3,49,1.09861228866811,3.89182029811063,0,0,0,0,1,59.375,58.3333333333333,50,1,1,1,0.8,1.3,3.5,1,1,1
600,3,25,1.09861228866811,3.2188758248682,0,0,0,0,1,62.4390243902439,65.9090909090909,100,1,1,1,0.8,1.4,3,1,0,0
600,3,6,1.09861228866811,1.79175946922805,0,0,0,0,1,58.3673469387755,40,50,0,0.8,0,0.8,1.33,3.25,1,0,0
600,3,8,1.09861228866811,2.07944154167984,0,0,0,0,1,63.3093525179856,62.962962962963,100,0,0.6,0,0.4,1.4,2.75,1,0,0
600,3,2,1.09861228866811,0.693147180559945,0,0,0,0,1,80.9756097560976,65.3846153846154,40,0,0.4,0,0.6,4.5,1.16,0,1,0
90,3,81,1.09861228866811,4.39444915467244,1,1,0,0,0,40,45.4545454545455,50,0,0.2,0,0.4,1.03,11,1,1,1
