"Match_Importance","Rank_Ruud","Rank_Opp","Log_Rank_Ruud","Log_Rank_Opp","Five_Set","Hard","Grass","Clay","Indoor","Opp_Set_Perc","Opp_Court_Perc","H2H_Ruud","Pre_Ruud","Pre5_Ruud","Pre_Opp","Pre5_Opp","Odd_Ruud","Odd_Opp","Odd_Pred","Odd_Acc","Win"
45,54,82,3.98898404656427,4.40671924726425,0,1,0,0,0,50.5928853754941,49.0909090909091,50,0,0.6,1,0.4,2.75,1.44,0,1,0
90,54,37,3.98898404656427,3.61091791264422,1,1,0,0,0,36.8421052631579,42.8571428571429,0,0,0.4,0,0.6,3.2,1.36,0,1,0
45,60,70,4.0943445622221,4.24849524204936,0,0,0,0,1,47.8260869565217,50,50,0,0.2,0,0.6,2.1,1.66,0,0,1
45,60,114,4.0943445622221,4.7361984483945,0,0,0,0,1,45.4545454545455,50,50,1,0.2,1,0.8,1.4,2.75,1,1,1
90,60,15,4.0943445622221,2.70805020110221,0,0,0,0,1,54.3589743589744,41.3793103448276,50,1,0.4,1,0.4,2.3,1.61,0,1,0
45,59,60,4.07753744390572,4.0943445622221,0,0,0,0,1,50,51.5151515151515,50,0,0.4,0,0.4,2.75,1.4,0,1,0
90,63,43,4.14313472639153,3.76120011569356,0,0,0,0,1,46.8085106382979,42.1686746987952,50,0,0.4,0,0.6,2.62,1.44,0,1,0
45,46,57,3.8286413964891,4.04305126783455,0,1,0,0,0,40.625,25,50,0,0.4,0,0.6,1.83,1.83,1,0,0
90,48,98,3.87120101090789,4.58496747867057,1,1,0,0,0,50,54.5454545454545,50,0,0.2,0,0.6,1.4,3,1,0,0
45,45,58,3.80666248977032,4.06044301054642,0,0,0,1,0,41.4814814814815,51.6129032258064,50,0,0,0,0.2,1.61,2.2,1,1,1
45,45,88,3.80666248977032,4.47733681447821,0,0,0,1,0,50.6024096385542,51.4705882352941,100,1,0.2,1,0.4,1.3,3.4,1,1,1
90,45,23,3.80666248977032,3.13549421592915,0,0,0,1,0,43.455497382199,50.4587155963303,50,1,0.4,1,0.6,1.5,2.62,1,1,1
150,45,69,3.80666248977032,4.23410650459726,0,0,0,1,0,51.1627906976744,62.8571428571429,50,1,0.6,1,0.8,1.57,2.37,1,1,1
250,45,145,3.80666248977032,4.97673374242057,0,0,0,1,0,27.7777777777778,29.4117647058824,50,1,0.8,1,0.6,1.14,5.5,1,1,1
90,34,128,3.52636052461616,4.85203026391962,0,0,0,1,0,50,50,50,1,1,0,0.4,1.25,3.75,1,0,0
90,36,13,3.58351893845611,2.56494935746154,0,1,0,0,0,53.4313725490196,55.1020408163265,0,0,0.8,1,0.8,2.62,1.44,0,1,0
90,37,243,3.61091791264422,5.49306144334055,1,1,0,0,0,41.6666666666667,33.3333333333333,50,0,0.6,0,0.2,1.57,2.37,1,1,1
180,37,8,3.61091791264422,2.07944154167984,1,1,0,0,0,62.5,50,100,1,0.6,1,0.6,5.5,1.14,0,1,0
90,34,16,3.52636052461616,2.77258872223978,0,0,0,1,0,52.6946107784431,56.6037735849057,50,0,0.4,0,0.6,1.9,1.9,1,1,1
90,34,47,3.52636052461616,3.85014760171006,0,0,0,1,0,45.2830188679245,47.0588235294118,50,1,0.4,1,0.4,1.36,3,1,1,1
180,34,40,3.52636052461616,3.68887945411394,0,0,0,1,0,61.4661654135338,60.1156069364162,50,1,0.6,1,0.8,1.66,2.1,1,1,1
360,34,8,3.52636052461616,2.07944154167984,0,0,0,1,0,60,68.4210526315789,50,1,0.8,1,0.8,2.37,1.57,0,0,1
600,34,1,3.52636052461616,0,0,0,0,1,0,82.5958702064897,81.4516129032258,50,1,0.8,1,1,5,1.16,0,1,0
90,30,15,3.40119738166216,2.70805020110221,0,0,0,1,0,52.3715415019763,57.6802507836991,50,0,0.8,1,0.2,1.44,2.62,1,1,1
180,30,41,3.40119738166216,3.71357206670431,0,0,0,1,0,50.9803921568627,50,0,1,0.8,1,0.8,1.36,3,1,1,1
300,30,14,3.40119738166216,2.63905732961526,0,0,0,1,0,54.8611111111111,54.2857142857143,0,1,0.8,1,0.8,2.62,1.44,0,1,0
90,25,94,3.2188758248682,4.54329478227,1,0,0,1,0,23.5294117647059,26.6666666666667,50,0,0.6,0,0.4,1.03,15,1,1,1
90,25,58,3.2188758248682,4.06044301054642,1,0,0,1,0,37.5,50,50,1,0.6,1,0.4,1.2,4.5,1,1,1
